product,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,price,lead-time,backlog,quantity_on_hand
6009,124.0,119.0,175.0,156.0,322.0,293.0,251.0,238.0,463.0,308.0,198.0,270.0,225.0,144.0,169.0,307.0,551.0,494.0,27.99,9,10,1955
6246,118.0,118.0,225.0,141.0,86.0,111.0,103.0,87.0,182.0,219.0,152.0,147.0,237.0,75.0,159.0,171.0,113.0,227.0,27.754460093896714,7,1,2481
6254,98.0,146.0,60.0,62.0,69.0,50.0,72.0,126.0,108.0,161.0,124.0,177.0,192.0,103.0,124.0,127.0,63.0,1118.0,23.440473499289826,2,5,2562
6696,27.0,30.0,19.0,44.0,78.0,64.0,70.0,36.0,43.0,59.0,47.0,27.0,22.0,4.0,1.0,0.0,0.0,1.0,17.71,6,6,920
9041,5.0,2.0,8.0,4.0,5.0,22.0,12.0,7.0,11.0,9.0,3.0,8.0,5.0,5.0,10.0,8.0,43.0,169.0,13.778636363636364,3,8,2137
9440,88.0,119.0,367.0,164.0,271.0,32.0,198.0,181.0,169.0,188.0,79.0,361.0,184.0,269.0,66.0,61.0,80.0,81.0,22.99,4,1,333
10171,28.0,23.0,42.0,59.0,141.0,185.0,97.0,52.0,46.0,66.0,60.0,53.0,97.0,32.0,21.0,90.0,311.0,121.0,23.984506172839502,1,6,855
11606,0.0,5.0,4.0,3.0,3.0,2.0,1.0,9.0,1.0,3.0,3.0,3.0,8.0,4.0,4.0,1.0,6.0,12.0,30.892272727272726,2,8,2650
12041,9.0,12.0,22.0,14.0,18.0,48.0,52.0,30.0,3.0,15.0,5.0,4.0,11.0,1.0,3.0,1.0,3.0,0.0,24.429999999999996,9,10,334
14419,9.0,7.0,77.0,51.0,194.0,106.0,130.0,43.0,22.0,68.0,104.0,65.0,73.0,37.0,13.0,9.0,7.0,3.0,22.38,9,3,1187
15320,64.0,160.0,96.0,412.0,456.0,152.0,56.0,48.0,32.0,16.0,40.0,72.0,128.0,16.0,32.0,8.0,0.0,56.0,21.753375,4,1,2080
15351,11.0,12.0,13.0,9.0,52.0,32.0,33.0,22.0,22.0,23.0,24.0,43.0,23.0,15.0,9.0,22.0,6.0,0.0,29.11,9,5,2783
15717,0.0,6.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.83,2,7,1447
15814,39.0,156.0,297.0,49.0,68.0,89.0,69.0,202.0,65.0,219.0,88.0,103.0,138.0,78.0,36.0,43.0,90.0,71.0,19.101750000000003,10,9,3125
15881,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,12.803333333333333,5,8,1036
15903,103.0,90.0,137.0,141.0,653.0,356.0,394.0,271.0,247.0,139.0,120.0,157.0,113.0,63.0,63.0,64.0,177.0,65.0,15.158571428571427,4,6,2477
19040,69.0,47.0,64.0,55.0,55.0,71.0,44.0,39.0,19.0,33.0,51.0,38.0,40.0,37.0,92.0,46.0,43.0,41.0,111.66107142857143,10,4,1490
32174,999.0,514.0,230.0,221.0,465.0,637.0,321.0,512.0,610.0,795.0,932.0,248.0,285.0,335.0,1111.0,128.0,476.0,357.0,8.464035788228335,9,8,863
32182,375.0,482.0,386.0,335.0,515.0,520.0,388.0,543.0,480.0,642.0,411.0,506.0,318.0,172.0,124.0,47.0,204.0,578.0,11.061332217261905,4,4,998
33103,157.0,167.0,201.0,154.0,205.0,201.0,183.0,203.0,192.0,178.0,160.0,217.0,236.0,14.0,0.0,203.0,334.0,423.0,23.545300261096607,9,7,1951
35378,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.99,1,4,2961
36510,13.0,12.0,14.0,14.0,18.0,12.0,17.0,8.0,6.0,4.0,11.0,6.0,14.0,13.0,15.0,5.0,20.0,8.0,63.28916666666667,7,10,188
36560,7.0,2.0,1.0,4.0,3.0,8.0,4.0,11.0,4.0,3.0,19.0,15.0,12.0,5.0,19.0,14.0,6.0,11.0,63.47722222222222,3,10,977
36570,0.0,3.0,0.0,3.0,12.0,7.0,8.0,6.0,3.0,6.0,9.0,14.0,8.0,12.0,8.0,11.0,3.0,3.0,60.10999999999999,8,10,2710
36580,1.0,3.0,2.0,4.0,9.0,8.0,9.0,4.0,15.0,17.0,21.0,12.0,15.0,13.0,19.0,6.0,2.0,7.0,65.62083333333332,9,6,1475
38997,297.0,272.0,313.0,267.0,302.0,499.0,426.0,249.0,299.0,355.0,219.0,346.0,465.0,132.0,461.0,535.0,768.0,2026.0,21.596877411366005,5,10,2277
40479,19.0,33.0,33.0,30.0,40.0,30.0,32.0,32.0,51.0,81.0,85.0,130.0,142.0,70.0,46.0,26.0,18.0,1.0,14.27,7,5,2287
42587,95.0,63.0,85.0,42.0,97.0,71.0,65.0,56.0,73.0,62.0,47.0,128.0,80.0,56.0,73.0,60.0,47.0,43.0,22.83,6,4,2591
50148,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.96,8,10,1259
50334,33.0,27.0,21.0,26.0,36.0,26.0,15.0,11.0,20.0,11.0,15.0,13.0,33.0,16.0,17.0,16.0,16.0,10.0,67.352,9,8,387
50342,12.0,7.0,17.0,7.0,21.0,14.0,26.0,50.0,3.0,8.0,2.0,11.0,20.0,14.0,13.0,4.0,6.0,4.0,36.17666666666667,8,5,935
51993,8.0,7.0,12.0,11.0,8.0,9.0,10.0,10.0,10.0,7.0,13.0,33.0,19.0,16.0,13.0,10.0,11.0,19.0,30.554999999999996,8,7,743
60551,14.0,15.0,3.0,4.0,0.0,0.0,1.0,0.0,22.0,64.0,62.0,98.0,33.0,34.0,3.0,2.0,2.0,2.0,41.99,5,2,1721
66125,4.0,5.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,28.99,4,5,950
68799,7.0,6.0,1.0,2.0,1.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.79,4,10,2724
68802,2.0,0.0,94.0,36.0,29.0,25.0,12.0,25.0,50.0,33.0,21.0,40.0,45.0,21.0,19.0,34.0,35.0,30.0,19.778965517241378,4,4,304
73407,9.0,11.0,8.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.040000000000003,8,9,435
79081,105.0,143.0,232.0,159.0,106.0,71.0,62.0,47.0,40.0,48.0,25.0,26.0,105.0,11.0,29.0,71.0,158.0,76.0,26.452465753424658,4,6,432
79111,8.0,14.0,43.0,48.0,31.0,35.0,20.0,24.0,21.0,23.0,48.0,179.0,117.0,155.0,18.0,43.0,72.0,53.0,21.383529411764705,5,9,774
82767,45.0,42.0,56.0,46.0,78.0,51.0,57.0,47.0,81.0,62.0,70.0,116.0,146.0,28.0,47.0,52.0,113.0,100.0,32.26244897959184,4,6,2689
83170,14.0,9.0,18.0,9.0,23.0,10.0,15.0,10.0,21.0,10.0,18.0,28.0,16.0,15.0,19.0,9.0,14.0,6.0,179.47500000000002,2,7,1938
83180,42.0,60.0,69.0,47.0,71.0,52.0,36.0,20.0,33.0,56.0,85.0,108.0,53.0,71.0,91.0,50.0,69.0,67.0,60.21868421052631,5,7,3306
83480,18.0,22.0,40.0,24.0,31.0,34.0,36.0,15.0,22.0,41.0,36.0,69.0,43.0,40.0,104.0,35.0,39.0,51.0,40.82431372549019,10,9,2367
84255,6.0,10.0,16.0,10.0,17.0,9.0,8.0,5.0,1.0,22.0,9.0,15.0,2.0,6.0,3.0,5.0,4.0,4.0,17.18,6,7,2290
84506,3.0,3.0,16.0,46.0,20.0,14.0,10.0,23.0,23.0,17.0,14.0,41.0,69.0,40.0,11.0,24.0,19.0,41.0,19.131951219512196,7,4,386
93645,48.0,62.0,57.0,45.0,55.0,68.0,87.0,38.0,59.0,32.0,33.0,30.0,38.0,33.0,19.0,26.0,59.0,52.0,34.649027777777775,10,6,1136
94170,68.0,69.0,83.0,249.0,290.0,113.0,89.0,116.0,78.0,90.0,61.0,211.0,305.0,127.0,225.0,311.0,184.0,221.0,15.541421800947868,6,1,1820
97802,14.0,3.0,12.0,19.0,58.0,36.0,16.0,30.0,15.0,23.0,25.0,14.0,26.0,11.0,62.0,284.0,422.0,60.0,24.94580409356725,2,9,2051
100740,81.0,63.0,199.0,130.0,516.0,330.0,247.0,906.0,106.0,494.0,264.0,276.0,114.0,88.0,97.0,140.0,163.0,132.0,36.66153846153846,5,7,2237
101810,0.0,0.0,0.0,0.0,11.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,46.5,6,8,2623
101820,7.0,16.0,26.0,9.0,24.0,34.0,43.0,13.0,12.0,36.0,21.0,22.0,67.0,41.0,22.0,19.0,68.0,36.0,4.89,4,1,270
103175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.49,3,4,2270
103424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,24.782,10,8,2505
103425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,30.49,10,2,2864
103680,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,44.0,8.0,17.063333333333333,2,7,2706
103683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.0,10.0,14.44,6,4,1215
103831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,2.0,71.995,4,9,1426
103860,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,12.462315789473683,10,4,685
103919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,20.673666666666666,1,5,1237
103924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,17.0,34.0,108.42640350877194,6,4,2037
103935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,211.575,2,4,2925
103989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,127.92,6,1,1248
103990,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,6.810555555555555,1,1,3311
104008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,29.0,32.73,9,10,3435
104096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,65.0,75.66477272727273,6,1,3400
104097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,52.0,83.22666666666666,4,10,2538
104229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,15.99,7,8,543
104231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,15.99,1,8,545
104241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,43.0,46.0,22.267533333333336,10,3,694
104269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,16.0,15.0,160.19,9,1,3166
104270,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,16.0,35.0,151.25225,8,1,1556
104271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,3.0,146.60500000000002,3,9,3077
104273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,10.0,10.0,166.223,1,9,837
104278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,57.0,161.83466666666666,2,2,2078
104279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,56.0,60.0,160.11247619047617,3,6,720
104280,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,34.0,55.0,158.07111111111112,3,5,929
104403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,91.0,149.0,10.49,10,1,360
104404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,386.4,6,4,2127
104406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,646.0,455.0,36.56085106382979,6,1,1035
104440,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,233.0,414.0,199.0,856.0,19.571,3,1,680
104461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.0,5.294270833333333,9,10,869
104485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,730.0,23.0,14.0,20.43,3,8,2062
104497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,5.0,240.44400000000002,6,10,2376
104499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,36.0,67.0,160.2138888888889,3,10,406
104501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,63.27,3,1,2781
104502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,58.28,3,5,712
104600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,11.0,76.0,42.0,14.0,99.0,35.90913768115942,9,5,2138
104601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,19.0,44.0,31.0,29.0,70.0,34.966055555555556,7,3,1522
104602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,19.0,40.0,32.0,16.0,57.0,33.10075757575758,1,10,266
104603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,15.0,41.0,42.0,27.0,116.0,35.349833333333336,3,2,2905
104686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,73.0,79.0,95.0,83.0,11.834358974358976,9,5,579
104687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,19.0,123.0,182.0,225.0,18.735608465608465,7,9,1996
104748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,24.0,0.0,162.99,1,4,3171
104750,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,12.0,0.0,162.99,4,8,409
104751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,9.0,16.0,6.0,162.99,9,1,2315
104752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,9.0,28.0,2.0,162.99,4,2,1314
104777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,77.0,98.0,129.0,8.172148760330579,9,4,2052
104826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,11.0,2.0,3.0,95.81666666666668,9,7,1148
104856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,14.0,31.0,3.0,90.28000000000002,4,1,2392
104857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,23.0,16.0,75.8775,3,6,800
104897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,128.02,4,3,2879
104947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,75.0,131.0,235.0,217.0,31.21806451612903,2,9,2182
104960,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,73.0,172.0,174.0,174.0,10.308571428571428,9,2,3187
105018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,246.0,304.0,11.0,54.85222222222222,5,7,3436
105019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,4.0,6.0,28.0,43.28280555555555,1,9,3056
105020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.0,3.0,9.0,15.0,51.80499999999999,4,4,456
105021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,7.0,5.0,40.00444444444444,2,1,2596
105044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,762.0,20.0,56.0,19.032941176470587,7,8,741
105049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146.0,3.0,207.0,259.0,44.732,5,9,1586
105050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,29.0,438.0,17.315,5,9,869
105063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,57.0,20.0,34.0,453.0,10.026915047475319,4,2,328
105081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0,11.0,5.0,45.582499999999996,6,5,1774
105082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,9.0,27.0,7.0,12.0,27.0,15.33736842105263,5,9,3305
105083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,5.0,26.0,3.0,14.0,13.0,29.439545454545453,9,9,3228
105119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,58.0,23.0,35.0,21.0,49.88444444444444,10,9,1902
105122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,29.0,125.0,51.0,15.0,40.24,4,5,743
105123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,43.0,16.0,2.0,6.0,109.30833333333334,6,8,950
105206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,11.0,7.0,11.0,61.0,30.0,26.248062499999996,3,8,1181
105207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,11.0,14.0,12.0,112.0,27.0,36.33869565217391,1,9,950
105212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,17.0,15.0,137.97636363636363,2,7,1538
105346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,2.0,10.0,5.0,58.989999999999995,5,3,924
105347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,58.28,3,4,1042
105369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,3.0,19.0,9.0,7.0,8.0,58.583333333333336,1,3,2275
105370,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,22.0,34.0,35.0,70.0,52.0,17.0,47.0,52.851378787878794,9,8,2765
105371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,5.0,12.0,16.0,11.0,5.0,13.0,21.729682539682543,1,2,2766
105597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,7.0,12.0,113.53428571428572,6,9,2396
105649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,35.0,31.0,13.0,6.0,76.0,14.0,5.0,22.99,10,4,591
105669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,3.0,46.0,8.0,26.0,86.0,42.28,6,5,2290
105865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,136.0,216.0,176.0,56.0,37.0,3.0,6.0,4.0,45.129999999999995,3,9,1809
105866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,23.0,85.0,190.0,156.0,82.0,28.0,2.0,5.0,2.0,59.99,1,6,2414
105879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.0,212.0,77.0,129.0,2663.0,451.0,294.0,364.0,23.876484343434342,2,8,2002
105905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,36.0,24.0,65.0,46.0,1.0,1.0,1.0,3.0,59.99,4,2,768
105906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,33.0,40.0,39.0,39.0,6.0,1.0,0.0,8.0,54.99,1,3,3493
105907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,23.0,42.0,50.0,6.0,1.0,2.0,1.0,54.99,1,7,1588
105908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,10.0,14.0,16.0,5.0,3.0,0.0,10.0,54.989999999999995,9,10,1175
105925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,6.0,3.0,24.0,465.0,195.0,173.0,20.605851063829785,6,8,1677
105931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,7.0,83.0,70.0,4918.0,91.0,65.0,20.4735,2,7,1982
105938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,12.0,57.0,32.0,179.0,237.0,1123.0,2940.0,74.0,14.903098591549297,9,4,3488
105940,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,3.0,1.0,1.0,0.0,0.0,0.0,10.62,7,9,1967
105996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,8.0,4.0,4.0,6.0,9.0,58.35285714285715,9,4,3387
106009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,29.0,121.0,30.0,58.0,43.0,15.0,23.105916666666666,7,8,601
106015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,10.0,3.0,6.0,7.0,1.0,17.49,6,10,2123
106017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,173.0,411.0,404.0,210.0,735.0,1094.0,1219.0,861.0,18.484436274509804,6,5,2246
106025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,26.0,16.0,16.0,22.0,16.0,16.0,59.99,4,9,3043
106032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,16.0,1.0,7.0,25.104285714285716,5,1,1744
106034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,12.0,208.0,214.0,141.0,71.0,9.0,3.0,5.0,38.790000000000006,7,9,3126
